No,Busstop name,Street,公交车站站名,街道名
71211,Ubi 55,Ubi Ave 1,大牌55,乌美1道
54439,Blk 549,Ang Mo Kio St 54,大牌549,宏茂桥54街
44701,Blk 548B,Segar Rd,大牌548B,实加路
44709,Blk 547C,Segar Rd,大牌547C,实加路
84361,Blk 547,Bedok Nth Rd,大牌547,勿洛北路
45311,Blk 547,Choa Chu Kang Nth 5,大牌547,蔡厝港5北
84379,Opp Blk 546,Bedok Nth Ave 1,大牌546对面,勿洛北1道
64579,Bet Blks 544/546,Hougang Ave 6,大牌546对面,后港6道
84371,Blk 546,Bedok Nth Ave 1,大牌546,勿洛北1道
66509,Blk 546,S'goon Nth Ave 5,大牌546,实龙岗北5道
84381,Blk 544,Bedok Nth St 3,大牌544,勿洛北3街
45269,Blk 544,Choa Chu Kang St 52,大牌544,蔡厝港52街
45461,Blk 544,Choa Chu Kang St 52,大牌544,蔡厝港52街
77041,Blk 541,Pasir Ris Dr 1,大牌541,巴西立通道1
46981,Blk 541,Woodlands Ave 1,大牌541,兀兰1道
46989,Opp Blk 540,Woodlands Ave 1,大牌540对面,兀兰1道
54579,Blk 540,Ang Mo Kio Ave 10,大牌540,宏茂桥10道
60159,Blk 54,Bendemeer Rd,大牌54,明地迷亚路
14041,Blk 54,Henderson Rd,大牌54,亨德申路
10429,Blk 54,Lengkok Bahru,大牌54,？谷？鲁
20249,Blk 54,Penjuru Rd,大牌54,本茱鲁路
84569,Opp Blk 53,Chai Chee St,大牌53对面,菜市街
10411,Opp Blk 53,Hoy Fatt Rd,大牌53对面,开发路
54471,Opp Blk 538,Ang Mo Kio Ave 5,大牌538对面,宏茂桥5道
54479,Blk 538,Ang Mo Kio Ave 5,大牌538,宏茂桥5道
28539,Blk 538,Jurong West Ave 1,大牌538,裕廊西1道
66529,Blk 538,S'goon Nth Ave 5,大牌538,实龙岗北5道
43801,Bet Blks 536/537,Bt Batok St 52,大牌537对面,武吉巴督52街
64439,Blk 537,Hougang St 51,大牌537,后港51街
66421,Blk 537,S'goon Nth Ave 4,大牌537,实龙岗北4道
46951,Blk 536A,Woodlands Dr 14,大牌536A,兀兰14通道
28531,Blk 536,Jurong West Ave 1,大牌536,裕廊西1道
64361,Blk 535,Hougang Ave 8,大牌535,后港8道
84391,Blk 534,Bedok Nth St 3,大牌534,勿洛北3街
43601,Opp Blk 532,Bt Batok West Ave 5,大牌532对面,武吉巴督西5道
44669,Opp Blk 532,Jelapang Rd,大牌532对面,日拉邦路
11311,Hse No. 532,Sixth Ave,大牌532对面,第6道
54571,Blk 532,Ang Mo Kio Ave 10,大牌532,宏茂桥10道
64369,Blk 532,Hougang Ave 8,大牌532,后港8道
44661,Blk 532,Jelapang Rd,大牌532,日拉邦路
46969,Blk 532,Woodlands Ave 4,大牌532,兀兰4道
66531,Opp Blk 531,S'goon Nth Ave 5,大牌531对面,实龙岗北5道
43609,Blk 531,Bt Batok West Ave 5,大牌531,武吉巴督西5道
66539,Blk 531,S'goon Nth Ave 5,大牌531,实龙岗北5道
45319,Blk 530,Choa Chu Kang Nth 5,大牌530,蔡厝港5北
66429,Blk 530,S'goon Nth Ave 4,大牌530,实龙岗北4道
92229,Blk 53,Marine Terr,大牌53,马林台
21269,Unit 53,Quality Rd,大牌53,品质路
21719,Opp Blk 529,Corporation Rd,大牌529对面,企业路
54419,Opp Blk 527,Ang Mo Kio St 52,大牌527对面,宏茂桥52街
54411,Blk 527,Ang Mo Kio St 52,大牌527,宏茂桥52街
84411,Blk 526,Bedok Nth St 3,大牌526,勿洛北3街
28411,Blk 526,Jurong West St 52,大牌526,裕廊西52街
21711,Bet Blks 523/525,Corporation Rd,大牌525对面,企业路
45259,Blk 523,Choa Chu Kang Way,大牌523,蔡厝港大道
54409,Opp Blk 522,Ang Mo Kio St 52,大牌522对面,宏茂桥52街
54401,Blk 522,Ang Mo Kio St 52,大牌522,宏茂桥52街
64389,Blk 522,Hougang Ave 10,大牌522,后港10道
64381,Opp Blk 521,Hougang Ave 10,大牌521对面,后港10道
47581,Opp Blk 521,Woodlands Ave 5,大牌521对面,兀兰5道
84311,Blk 521,Bedok Nth Rd,大牌521,勿洛北路
10419,Blk 52,Hoy Fatt Rd,大牌52,开发路
52359,Blk 52,Lor 6 Toa Payoh,大牌52,大巴窑6巷
84559,Opp Blks 50/51,Chai Chee St,大牌51对面,菜市街
20241,Opp Blk 51,Penjuru Rd,大牌51对面,本茱鲁路
20121,Opp Blk 51,West Coast Rd,大牌51对面,西海岸路
20129,Bet Blks 50/51,West Coast Rd,大牌51对面,西海岸路
77141,Blk 519,Pasir Ris St 52,大牌519,巴西立52街
17331,Opp Blk 518,West Coast Highway,大牌518对面,西海岸大道
17339,Blk 518,West Coast Highway,大牌518,西海岸大道
28421,Blk 517,Jurong West St 52,大牌517,裕廊西52街
66101,Blk 516,Ang Mo Kio Ave 3,大牌516,宏茂桥3道
84321,Blk 516,Bedok Nth Rd,大牌516,勿洛北路
44611,Blk 516,Jelapang Rd,大牌516,日拉邦路
77011,Opp Blk 515,Pasir Ris Dr 1,大牌515对面,巴西立通道1
28381,Blk 515,Jurong West St 51,大牌515,裕廊西51街
77019,Blk 515,Pasir Ris Dr 1,大牌515,巴西立通道1
46649,Blk 515,Woodlands Ave 5,大牌515,兀兰5道
43809,Blk 514,Bt Batok St 52,大牌514,武吉巴督52街
17071,Blk 513,West Coast Rd,大牌513,西海岸路
84419,Blk 512,Bedok Nth St 3,大牌512,勿洛北3街
64399,Blk 512,Hougang Ave 10,大牌512,后港10道
17079,Blk 512,West Coast Rd,大牌512,西海岸路
45241,Opp Blk 511A,Choa Chu Kang Way,大牌511A对面,蔡厝港大道
45249,Blk 511A,Choa Chu Kang Way,大牌511A,蔡厝港大道
46331,Blk 511,Woodlands Ave 2,大牌511,兀兰2道
84421,Blk 510,Bedok Nth Ave 2,大牌510,勿洛北2道
43541,Blk 510,Bt Batok East Ave 5,大牌510,武吉巴督东5道
50089,Blk 51,Owen Rd,大牌51,奥云路
84449,Blk 509,Bedok Nth St 3,大牌509,勿洛北3街
54591,Blk 5084,Ang Mo Kio Ind Pk 2,大牌5084,宏茂桥第2工业园
64331,Blk 508,Hougang Ave 4,大牌508,后港4道
54449,Opp Blk 507,Ang Mo Kio St 53,大牌507对面,宏茂桥53街
46979,Opp Blk 507,Woodlands Ave 1,大牌507对面,兀兰1道
58491,Opp Blk 507A,Montreal Dr,大牌507A对面,蒙特利通道
54441,Blk 507,Ang Mo Kio St 53,大牌507,宏茂桥53街
66431,Opp Blk 506A,S'goon Nth Ave 4,大牌506A对面,实龙岗北4道
58499,Blk 506A,Montreal Dr,大牌506A,蒙特利通道
20011,Blk 506,AYE,大牌506,亚逸拉惹高速公路
84521,Blk 506,Bedok Nth Ave 3,大牌506,勿洛北3道
44619,Blk 506,Jelapang Rd,大牌506,日拉邦路
54599,Blk 5056,Ang Mo Kio Ind Pk 2,大牌5056,宏茂桥第2工业园
54341,Opp Blk 504,Ang Mo Kio Ave 8,大牌504对面,宏茂桥8道
54521,Blk 5046,Ang Mo Kio Ind Pk 2,大牌5046,宏茂桥第2工业园
54529,Opp Blk 5043,Ang Mo Kio Ind Pk 2,大牌5043对面,宏茂桥第2工业园
54349,Blk 504,Ang Mo Kio Ave 8,大牌504,宏茂桥8道
44671,Bet Blks 502/503,Saujana Rd,大牌503对面,桑加那路
43421,Blk 503,Bt Batok East Ave 2,大牌503,武吉巴督东2道
44679,Opp Blk 502,Saujana Rd,大牌502对面,桑加那路
58119,Blk 502A,Canberra Rd,大牌502A,坎贝拉路
54511,Blk 5028,Ang Mo Kio Ind Pk 2,大牌5028,宏茂桥第2工业园
54519,Opp Blk 5023,Ang Mo Kio Ind Pk 2,大牌5023对面,宏茂桥第2工业园
54309,Opp Blk 5022,Ang Mo Kio Ave 3,大牌5022对面,宏茂桥3道
54301,Blk 5022,Ang Mo Kio Ave 3,大牌5022,宏茂桥3道
54359,Blk 502,Ang Mo Kio Ave 5,大牌502,宏茂桥5道
64349,Blk 502,Hougang Ave 8,大牌502,后港8道
28401,Blk 502,Jurong West Ave 1,大牌502,裕廊西1道
77131,Blk 502,Pasir Ris St 52,大牌502,巴西立52街
53229,Blk 501,Bishan St 11,大牌501,碧山11街
28391,Blk 501,Jurong West St 51,大牌501,裕廊西51街
77199,Opp Blk 500A,Pasir Ris Dr 3,大牌500A对面,巴西立通道3
77191,Blk 500A,Pasir Ris Dr 3,大牌500A,巴西立通道3
54509,Aft Blk 5000,Ang Mo Kio Ave 5,大牌5000之后,宏茂桥5道
84109,Blk 50,Bedok Sth Ave 3,大牌50,勿洛南3道
11459,Blk 50,C'wealth Dr,大牌50,联邦通道
10409,Blk 50,Hoy Fatt Rd,大牌50,开发路
52299,Blk 50,Lor 5 Toa Payoh,大牌50,大巴窑5巷
14359,Blk 50,Telok Blangah Dr,大牌50,直落布兰雅通道
99139,Blk 5,Changi Village Rd,大牌5,樟宜村路
21189,Blk 5,Corporation Rd,大牌5,企业路
1349,Opp Blk 4,Crawford St,大牌4对面,哥罗福街
29149,Opp LP 4,Pandan Ave,大牌4对面,班丹道
70049,Aft Blk 4,Upp Aljunied Rd,大牌4对面,阿裕尼路上段
70041,Opp Blk 4,Upp Aljunied Rd,大牌4对面,阿裕尼路上段
84101,Opp Blk 49,Bedok Sth Ave 3,大牌49对面,勿洛南3道
76241,Blk 497D,Tampines Ave 7,大牌497D,淡滨尼7道
76369,Blk 496F,Tampines Ave 9,大牌496F,淡滨尼9道
76359,Blk 493B,Tampines Ave 9,大牌493B,淡滨尼9道
58401,Opp Blk 491,Admiralty Link,大牌491对面,海军部连路
76279,Blk 491C,Tampines St 45,大牌491C,淡滨尼45街
58409,Blk 491,Admiralty Link,大牌491,海军部连路
28581,Blk 491,Jurong West St 41,大牌491,裕廊西41街
44591,Blk 490B,Choa Chu Kang Ave 6,大牌490B,蔡厝港6道
28501,Blk 490,Jurong West Ave 1,大牌490,裕廊西1道
10381,Opp Blk 48,Lower Delta Rd,大牌48对面,立达路下段
15129,Opp LP 48,Sth Buona Vista Rd,大牌48对面,南波那维斯达路
14351,Aft Blk 48,Telok Blangah Dr,大牌48对面,直落布兰雅通道
59221,Aft LP 48,Yishun Ave 7,大牌48对面,义顺7道
76261,Blk 489B,Tampines St 45,大牌489B,淡滨尼45街
44589,Opp Blk 489A,Choa Chu Kang Ave 5,大牌489A对面,蔡厝港5道
76269,Opp Blk 489A,Tampines St 45,大牌489A对面,淡滨尼45街
44581,Blk 489A,Choa Chu Kang Ave 5,大牌489A,蔡厝港5道
76259,Opp Blk 487B,Tampines St 45,大牌487B对面,淡滨尼45街
76251,Blk 487B,Tampines St 45,大牌487B,淡滨尼45街
44551,Opp Blk 486,Choa Chu Kang Ave 5,大牌486对面,蔡厝港5道
78229,Blk 485,Pasir Ris Dr 4,大牌485,巴西立通道4
44699,Opp Blk 484,Segar Rd,大牌484对面,实加路
44691,Bef Blk 484,Segar Rd,大牌484对面,实加路
76351,Blk 484,Tampines Ave 9,大牌484,淡滨尼9道
44559,Blk 483,Choa Chu Kang Ave 5,大牌483,蔡厝港5道
58351,Blk 483,Sembawang Dr,大牌483,三巴旺通道
78231,Opp Blk 482,Pasir Ris St 41,大牌482对面,巴西立41街
58419,Blk 482A CP ,Admiralty Link,大牌482A CP,海军部连路
28591,Opp Blk 481,Jurong West St 41,大牌481对面,裕廊西41街
10389,Blk 48,Lower Delta Rd,大牌48,立达路下段
20171,Opp Blk 47,West Coast Rd,大牌47对面,西海岸路
59229,Aft LP 47,Yishun Ave 7,大牌47对面,义顺7道
78119,Opp Blk 479,Pasir Ris Dr 3,大牌479对面,巴西立通道3
78111,Blk 479,Pasir Ris Dr 3,大牌479,巴西立通道3
58349,Blk 478,Sembawang Dr,大牌478,三巴旺通道
64401,Opp Blk 477A,Upp S'goon Rd,大牌477A对面,实龙岗路上段
64409,Blk 477A,Upp S'goon Rd,大牌477A,实龙岗路上段
54379,Blk 475,Ang Mo Kio Ave 10,大牌475,宏茂桥10道
58329,Blk 474,Admiralty Dr,大牌474,海军部通道
62251, Bef Blk 471B,Upp S'goon Cres,大牌471B对面,实龙岗弯上段
58389,Opp Blk 469B,Sembawang Way,大牌469B对面,三巴旺大道
58381,Blk 469B,Sembawang Way,大牌469B,三巴旺大道
78081,Blk 467,Pasir Ris Dr 6,大牌467,巴西立通道6
64051,Blk 465A,Upp S'goon Rd,大牌465A,实龙岗路上段
62271,Blk 465A,Upp S'goon Rd,大牌465A,实龙岗路上段
54389,Blk 465,Ang Mo Kio Ave 10,大牌465,宏茂桥10道
44079,Opp Blk 464,Choa Chu Kang Ave 3,大牌464对面,蔡厝港3道
44071,Blk 464,Choa Chu Kang Ave 3,大牌464,蔡厝港3道
76341,Blk 464,Tampines Ave 9,大牌464,淡滨尼9道
28511,Blk 463,Jurong West Ave 1,大牌463,裕廊西1道
28611,Opp Blk 461,Jurong West St 41,大牌461对面,裕廊西41街
1211,Opp Blk 461,Victoria St,大牌461对面,维多利亚街
1219,Blk 461,Victoria St,大牌461,维多利亚街
11389,Blk 46,Holland Dr,大牌46,荷兰通道
42309,Hse No. 45,Toh Tuck Terr,大牌45对面,道德台
76371,Blk 459,Tampines St 42,大牌459,淡滨尼42街
64029,Opp Blk 458,Hougang Ave 10,大牌458对面,后港10道
64021,Blk 458,Hougang Ave 10,大牌458,后港10道
28399,Blk 458,Jurong West St 51,大牌458,裕廊西51街
44629,Blk 457,Choa Chu Kang Ave 4,大牌457,蔡厝港4道
28521,Blk 457,Jurong West Ave 1,大牌457,裕廊西1道
59579,Blk 456,Yishun Ring Rd,大牌456,义顺环路
78241,Bet Blks 453/454,Pasir Ris St 41,大牌454对面,巴西立41街
53369,Opp Blk 454,Sin Ming Ave,大牌454对面,新民道
28409,Blk 454,Jurong West Ave 1,大牌454,裕廊西1道
53361,Blk 454,Sin Ming Ave,大牌454,新民道
54289,Blk 452,Ang Mo Kio Ave 3,大牌452,宏茂桥3道
84369,Blk 45,Bedok Nth Rd,大牌45,勿洛北路
84079,Blk 45,Bedok Sth Rd,大牌45,勿洛南路
92239,Blk 45,Marine Cres,大牌45,马林弯
80229,Blk 45,Sims Dr,大牌45,沈氏通道
10441,Opp Blk 44,Lengkok Bahru,大牌44对面,？谷？鲁
59639,Bet Blks 445/449,Yishun Ring Rd,大牌449对面,义顺环路
76211,Blk 449,Tampines Ave 7,大牌449,淡滨尼7道
78071,Blk 446,Pasir Ris Dr 6,大牌446,巴西立通道6
59631,Opp Blk 445,Yishun Ring Rd,大牌445对面,义顺环路
44349,Bet Blks 443A/443B,Fajar Rd,大牌443B对面,法嘉路
54381,Blk 443,Ang Mo Kio Ave 10,大牌443,宏茂桥10道
60139,Blk 44,Bendemeer Rd,大牌443,明地迷亚路
44339,Blk 442D,Fajar Rd,大牌442D,法嘉路
44509,Blk 442,Choa Chu Kang Ave 4,大牌442,蔡厝港4道
78069,Blk 442,Pasir Ris Dr 1,大牌442,巴西立通道1
76389,Blk 442,Tampines St 43,大牌442,淡滨尼43街
28529,Blk 441,Jurong West Ave 1,大牌441,裕廊西1道
10449,Blk 44,Lengkok Bahru,大牌44,？谷？鲁
11181,Opp Blk 43,C'wealth Ave,大牌43对面,联邦道
64571,Blk 438,Hougang Ave 6,大牌438,后港6道
17051,Blk 436,Clementi Ave 6,大牌436,金文泰6道
64031,Blk 436,Hougang Ave 8,大牌436,后港8道
64039,Blk 434,Hougang Ave 8,大牌434,后港8道
59581,Blk 432C,Yishun St 41,大牌432C,义顺41街
67561,Opp Blk 432A,Sengkang West Way,大牌432A对面,盛港西大道
67569,Blk 432A,Sengkang West Way,大牌432A,盛港西大道
45231,Blk 432,Choa Chu Kang Way,大牌432,蔡厝港大道
20019,Blk 431,AYE,大牌431,亚逸拉惹高速公路
59471,Blk 430B,Yishun Ave 1,大牌430B,义顺1道
76361,Blk 430,Tampines Ave 9,大牌430,淡滨尼9道
11189,Blk 43,C'wealth Ave,大牌43,联邦道
84549,Opp Blk 42,Chai Chee St,大牌42对面,菜市街
78079,Blk 429,Pasir Ris Dr 6,大牌429,巴西立通道6
84319,Blk 428,Bedok Nth Rd,大牌428,勿洛北路
54279,Blk 427,Ang Mo Kio Ave 3,大牌427,宏茂桥3道
17149,Blk 426,AYE,大牌426,亚逸拉惹高速公路
44501,Blk 426,Choa Chu Kang Ave 4,大牌426,蔡厝港4道
62169,Blk 426,S'goon Ave 1,大牌426,实龙岗1道
28519,Blk 425,Jurong West Ave 1,大牌425,裕廊西1道
77059,Blk 425,Pasir Ris Dr 1,大牌425,巴西立通道1
46361,Blk 425,Woodlands St 41,大牌425,兀兰41街
76201,Blk 423,Tampines Ave 7,大牌423,淡滨尼7道
54339,Blk 422,Ang Mo Kio Ave 8,大牌422,宏茂桥8道
28509,Blk 422,Jurong West Ave 1,大牌422,裕廊西1道
64421,Blk 421,Hougang Ave 10,大牌421,后港10道
62179,Blk 421,S'goon Ctrl,大牌421,实龙岗中路
16891,Opp Blk 420A,Clementi Ave 1,大牌420A对面,金文泰1道
54329,Blk 420,Ang Mo Kio Ave 8,大牌420,宏茂桥8道
84541,Blk 42,Chai Chee St,大牌42,菜市街
11151,Blk 42,C'wealth Ave,大牌42,联邦道
27061,Opp Blk 41,Nanyang Dr,大牌41对面,南洋通道
20219,Opp Blk 41,Teban Gdns Rd,大牌41对面,德曼花园路
50081,Blk 41A,Owen Rd,大牌41A,奥云路
59461,Opp Blk 419,Yishun Ave 11,大牌419对面,义顺11道
43499,Blk 419,Bt Batok West Ave 4,大牌419,武吉巴督西4道
59469,Blk 419,Yishun Ave 11,大牌419,义顺11道
76391,Blk 418,Tampines St 41,大牌418,淡滨尼41街
47639,Blk 418,Woodlands Ave 1,大牌418,兀兰1道
44491,Bet Blks 416/417,Choa Chu Kang Ave 4,大牌417对面,蔡厝港4道
76399,Blk 417,Tampines St 41,大牌417,淡滨尼41街
84331,Opp Blk 416,Bedok Nth Ave 2,大牌416对面,勿洛北2道
84339,Blk 416,Bedok Nth Ave 2,大牌416,勿洛北2道
28571,Blk 416,Jurong West St 42,大牌416,裕廊西42街
82032,Blk 416,Sims Ave,大牌416,沈氏道
62189,Blk 416,Upp S'goon Rd,大牌416,实龙岗路上段
58429,Bet Blks 415/416 ,Admiralty Dr,大牌415/416之前,海军部通道
84329,Blk 414,Bedok Nth Rd,大牌414,勿洛北路
44469,Blk 414,Choa Chu Kang Way,大牌414,蔡厝港大道
82033,Blk 414,Sims Ave,大牌414,沈氏道
44601,Blk 413,Saujana Rd,大牌413,桑加那路
46369,Blk 413,Woodlands St 41,大牌413,兀兰41街
59419,Blk 413,Yishun Ring Rd,大牌413,义顺环路
64429,Blk 412,Hougang Ave 10,大牌412,后港10道
20151,Opp Blk 411,West Coast Rd,大牌411对面,西海岸路
20159,Blk 411,West Coast Rd,大牌411,西海岸路
44529,Blk 410,Choa Chu Kang Ave 3,大牌410,蔡厝港3道
17151,Blk 410,C'wealth Ave West,大牌410,联邦西道
20199,Blk 410,Pandan Gdns,大牌410,班丹花园
27069,Blk 41,Nanyang Dr,大牌41,南洋通道
20211,Blk 41,Teban Gdns Rd,大牌41,德曼花园路
14309,Blk 41,Telok Blangah Rise,大牌41,直落布兰雅坡
84081,Opp Blk 40,Bedok Sth Rd,大牌40对面,勿洛南路
54371,Blk 409A,Ang Mo Kio Ave 10,大牌409A,宏茂桥10道
62171,Blk 409,S'goon Ctrl,大牌409,实龙岗中路
46379,Blk 409,Woodlands St 41,大牌409,兀兰41街
17251,Opp Blk 408,Clementi Ave 2,大牌408对面,金文泰2道
20141,Opp Blk 408,West Coast Rd,大牌408对面,西海岸路
17259,Blk 408,Clementi Ave 2,大牌408,金文泰2道
44609,Blk 408,Saujana Rd,大牌408,桑加那路
20149,Blk 408,West Coast Rd,大牌408,西海岸路
20191,Blk 407,Pandan Gdns,大牌407,班丹花园
53341,Blk 407,Sin Ming Ave,大牌407,新民道
59591,Bet Blks 405/406,Yishun Ave 6,大牌406对面,义顺6道
43669,Blk 406,Bt Batok West Ave 7,大牌406,武吉巴督西7道
46371,Blk 406,Woodlands St 41,大牌406,兀兰41街
67289,Opp Blk 405C,Fernvale Lane,大牌405C对面,芬薇巷
78089,Blk 405,Pasir Ris Dr 6,大牌405,巴西立通道6
58341,Blk 405,Sembawang Dr,大牌405,三巴旺通道
58411,Blk 404A CP,Admiralty Link,大牌404A CP,海军部连路
67281,Blk 403A,Fernvale Lane,大牌403A,芬薇巷
84211,Blk 403,Bedok Nth Ave 3,大牌403,勿洛北3道
62129,Blk 403,Upp S'goon Rd,大牌403,实龙岗路上段
46499,Opp Blk 402,Woodlands Ave 3,大牌402对面,兀兰3道
54369,Opp Blk 4025,Ang Mo Kio Ind Pk 1,大牌4025对面,宏茂桥第1工业园
43679,Blk 402,Bt Batok Rd,大牌402,武吉巴督路
44519,Blk 402,Choa Chu Kang Ave 3,大牌402,蔡厝港3道
28561,Blk 402,Jurong West St 42,大牌402,裕廊西42街
46491,Blk 402,Woodlands Ave 3,大牌402,兀兰3道
84089,Blk 40,Bedok Sth Rd,大牌40,勿洛南路
14379,Blk 40,Lower Delta Rd,大牌40,立达路下段
99131,Blk 4,Changi Village Rd,大牌4,樟宜村路
10519,Blk 4,Delta Rd,大牌4,立达路
27261,Hall 4,Nanyang Dr,大牌4,南洋通道
96029,Expo Halls 1/2/3,Upp Changi Rd East,大牌3对面,樟宜路东上段
14409,Opp Blk 3B,Labrador Villa Rd,大牌3B对面,拉柏多维拉路
80311,Blk 3B,Upp Boon Keng Rd,大牌3B,文庆路上段
82221,Blk 3A,Jln Turi,大牌3A,惹兰都利
59601,Bet Blks 391/392,Yishun Ave 6,大牌392对面,义顺6道
81171,Blk 39,Old Airport Rd,大牌39,旧机场路
11449,Blk 37B ,C'wealth Dr,大牌37B,联邦通道
17221,Blk 377,Clementi Ave 5,大牌377,金文泰5道
17219,Blk 376,Clementi Ave 4,大牌376,金文泰4道
76249,Blk 370,Tampines Ave 7,大牌370,淡滨尼7道
46339,Blk 370,Woodlands Ave 2,大牌370,兀兰2道
10599,Opp Blk 36,Jln Rumah Tinggi,大牌36对面,惹兰鲁马丁宜
59399,Opp Blk 367,Yishun Ring Rd,大牌367对面,义顺环路
21611,Blk 367,Corporation Dr,大牌367,企业通道
17159,Blk 365,C'wealth Ave West,大牌365,联邦西道
21609,Opp Blk 364,Corporation Dr,大牌364对面,企业通道
70181,Blk 36,Circuit Rd,大牌36,循环路
17439,LP 36,Sunset Way,大牌36,斜阳大道
20161,Opp Blks 34/35,West Coast Rd,大牌35对面,西海岸路
59401,Blk 358,Yishun Ring Rd,大牌358,义顺环路
58319,Blk 357C,Sembawang Dr,大牌357C,三巴旺通道
58321,Bet Blks 357/359,Admiralty Dr,大牌357/359之前,海军部通道
21601,Blk 357,Corporation Dr,大牌357,企业通道
59411,Blk 356,Yishun Ring Rd,大牌356,义顺环路
17249,Blk 355,Clementi Ave 2,大牌355,金文泰2道
64059,Blk 355,Upp S'goon Rd,大牌355,实龙岗路上段
54321,Blk 354,Ang Mo Kio Ave 8,大牌354,宏茂桥8道
21621,Blk 354,Kang Ching Rd,大牌354,岗景路
46349,Aft Blk 353,Woodlands Ave 1,大牌353对面,兀兰1道
58421,Blk 353 ,Admiralty Dr,大牌353,海军部通道
17109,Opp Blk 352,Clementi Rd,大牌352对面,金文泰路
44461,Blk 352,Choa Chu Kang Way,大牌352,蔡厝港大道
17101,Blk 352,Clementi Rd,大牌352,金文泰路
76439,Blk 351,Tampines St 33,大牌351,淡滨尼33街
28351,Opp Blk 350,Boon Lay Way,大牌350对面,文礼大道
59451,Bet Blks 349/350,Yishun Ave 11,大牌350对面,义顺11道
28359,Blk 350,Boon Lay Way,大牌350,文礼大道
64321,Blk 350,Hougang Ave 7,大牌350,后港7道
52301,Blk 35,Toa Payoh East,大牌35,大巴窑东
20169,Blk 35,West Coast Rd,大牌35,西海岸路
52109,Bet Blks 33/34,Jln Bahagia,大牌34对面,惹兰安娜武吉
59651,Blk 348B,Yishun Ave 11,大牌348B,义顺11道
43589,Opp Blk 347,Bt Batok West Ave 5,大牌347对面,武吉巴督西5道
46541,Opp Blk 347,Woodlands Ave 3,大牌347对面,兀兰3道
43581,Blk 347,Bt Batok West Ave 5,大牌347,武吉巴督西5道
28461,Blk 347,Jurong East Ave 1,大牌347,裕廊东1道
46549,Blk 347,Woodlands Ave 3,大牌347,兀兰3道
54331,Blk 346,Ang Mo Kio Ave 8,大牌346,宏茂桥8道
64319,Opp Blk 344,Hougang Ave 7,大牌344对面,后港7道
64311,Blk 344,Hougang Ave 7,大牌344,后港7道
17119,Opp Blk 343,Clementi Rd,大牌343对面,金文泰路
71119,Opp Blk 343,Ubi Ave 1,大牌343对面,乌美1道
17111,Blk 343,Clementi Rd,大牌343,金文泰路
76449,Blk 343,Tampines St 33,大牌343,淡滨尼33街
71111,Blk 343,Ubi Ave 1,大牌343,乌美1道
59391,Blk 342B,Yishun Ring Rd,大牌342B,义顺环路
52289,Blk 34,Lor 5 Toa Payoh,大牌34,大巴窑5巷
92231,Blk 34,Marine Cres,大牌34,马林弯
31139,Bef Track 33,Old Choa Chu Kang Rd,大牌33对面,旧蔡厝港路
31131,Aft Track 33,Old Choa Chu Kang Rd,大牌33对面,旧蔡厝港路
43839,Opp Blk 336,Bt Batok West Ave 7,大牌336对面,武吉巴督西7道
46359,Aft Blk 336,Woodlands Ave 1,大牌336对面,兀兰1道
17229,Blk 335,Clementi Ave 5,大牌335,金文泰5道
58271,Blk 335 ,Sembawang Cres,大牌335,三巴旺弯
46621,Blk 335,Woodlands Ave 1,大牌335,兀兰1道
43831,Blk 334,Bt Batok West Ave 7,大牌334,武吉巴督西7道
17241,Blk 334,Clementi Ave 2,大牌334,金文泰2道
21629,Blk 334,Kang Ching Rd,大牌334,岗景路
66381,Blk 334,S'goon Ave 2,大牌334,实龙岗2道
54099,Opp Blk 333,Ang Mo Kio Ave 1,大牌333对面,宏茂桥1道
5241,Opp Blk 333,Kreta Ayer Rd,大牌333对面,水车路
59641,Bet Blks 333C/333D,Yishun St 31,大牌333D对面,义顺31街
59649, Opp Blk 333C,Yishun St 31,大牌333C对面,义顺31街
67391,Blk 333B,Sengkang East Way,大牌333B,盛港东大道
54311,Blk 332,Ang Mo Kio Ave 8,大牌332,宏茂桥8道
76421,Opp Blk 331,Tampines St 32,大牌331对面,淡滨尼32街
54091,Blk 331,Ang Mo Kio Ave 1,大牌331,宏茂桥1道
43491,Blk 331,Bt Batok West Ave 4,大牌331,武吉巴督西4道
21671,Blk 331,Tah Ching Rd,大牌331,塔景路
76429,Blk 331,Tampines St 32,大牌331,淡滨尼32街
66419,Blk 330,S'goon Ave 3,大牌330,实龙岗3道
84029,Opp Blk 32,New Upp Changi Rd,大牌32对面,新樟宜路上段
17161,Opp Blk 329,C'wealth Ave West,大牌329对面,联邦西道
17169,Blk 329,C'wealth Ave West,大牌329,联邦西道
21679,Blk 329,Tah Ching Rd,大牌329,塔景路
58299,Blk 328,Sembawang Dr,大牌328,三巴旺通道
64249,Blk 327,Hougang Ave 5,大牌327,后港5道
58371,Bet Blks 325/326,Sembawang Cres,大牌326对面,三巴旺弯
66411,Blk 326,S'goon Ave 3,大牌326,实龙岗3道
58379,Opp Blk 325,Sembawang Cres,大牌325对面,三巴旺弯
64301,Blk 325,Hougang Ave 7,大牌325,后港7道
54248,Blk 324,Ang Mo Kio Ave 3,大牌324,宏茂桥3道
43841,Blk 324,Bt Batok St 33,大牌324,武吉巴督33街
67441,Opp Blk 323B,Sengkang East Rd,大牌323B对面,盛港东路
67449,Blk 323B,Sengkang East Rd,大牌323B,盛港东路
