00481,BT PANJANG TEMP BUS PK
24149,Aft Joo Koon Cres, Ind Svcs Pte Ltd
24159,Aft Joo Koon Rd, Joo Koon之后
24169,Bef Gul Circle, Gul Circle对面
24179,Opp Hong Hock Hardware, Opp Hong Hock Hardware
24189,Tai Sin Electric Cables, Tai Sin Electric Cables
24199,JB Ind Pte Ltd, JB Ind Pte Ltd
24209,Aft Gul Lane, Gul Lane对面
24219,Precision Products, Precision Products
24229,Aft Gul St 3, 义顺2道之后
24239,Bef Gul St 1, Bef Gul St 1
24249,Asiatic Agricultural Ind, Agricultural Ind对面
24259,DNV GL Laboratory, 大牌Laboratory对面
24269,Sing Huat Hardware, Huat Hardware对面
24279,Cameron Iron Works, Iron Works对面
24289,Opp Keppel T&T, 义顺2道之后
24299,Aft Gul Way, Gul Way对面
24301,SNL Logistics Pte Ltd, SNL Logistics Pte Ltd
24331,Opp Hong Hang Bldg, Opp Hong Hang Bldg
24339,Hong Hang Bldg, Hang Bldg对面
24341,Opp Keppel Shipyard, Keppel Shipyard对面
24349,Keppel Shipyard, Keppel Shipyard
24351,Opp S'pore Takada Ind, Opp S'pore Takada Ind
24359,S'pore Takada Ind, Takada Ind对面
24369,Dyna-Mac Engrg Svcs, 大牌Svcs对面
24379,Opp Asia Ind Gases, Opp Asia Ind Gases
24381,GE Keppel Energy Svcs, GE Keppel Energy Svcs
24389,Opp GE Keppel Energy Svcs, GE Keppel Energy Svcs对面
24391,Chem-Solv Technologies, Solv Technologies对面
24401,Opp Hoe Huat Engrg, Opp Hoe Huat Engrg
24411,Gul Camp, Gul Camp
24421,Bef Pioneer Sector 1, Bef Pioneer Sector 1
24431,Aft Pioneer Sector 2, 先驱路2段之后
24441,GSK, GSK
24451,Opp Cambridge Ind Trust, Opp Cambridge Ind Trust
24461,Bef Nam Leong Co Pte Ltd, Nam Leong Co Pte Ltd对面
24489,Aft Joo Koon Way, Storage Asia对面
24499,Panasonic Ind Devices, Kiat Metal & Ind对面
24501,Bef Tuas Flyover, Tuas Flyover对面
24509,Aft Tuas Flyover, Tuas Flyover对面
24511,GUL CIRCLE STN EXIT A, Fire Stn对面
24519,GUL CIRCLE STN EXIT B, Opp Tuas Fire Stn
24521,Bef Tuas Ave 5, Bef Tuas Ave 5
24529,Aft Tuas Ave 5, 义顺2道之后
24531,Utracon Corp, Utracon Corp
24539,Dundee Marine, Dundee Marine
24541,Opp Keppel Shipyard, Keppel Shipyard对面
24549,Keppel Shipyard, Keppel Shipyard
24559,HQ 6 Div, 大牌Div对面
24571,Seng Heng Engrg, 大牌S)
24581,Opp ESAB, 大牌ESAB
24599,Bef Joo Koon Way, Bef Joo Koon Way
24601,Progress Galvanizing, Progress Galvanizing
24609,Opp Progress Galvanizing, Progress Galvanizing对面
24611,Bef Marinteknik, Bef Marinteknik
24619,Opp Marinteknik, Opp Marinteknik
24621,Aft Ocean Tanker, Ocean Tanker对面
24629,Opp Ocean Tanker, Ocean Tanker对面
24631,Bef Benoi Rd, Benoi Rd对面
24639,Aft Benoi Rd, Benoi Rd对面
24641,W Atelier, Tuboscope Vetco对面
24651,Metall-Treat Ind, Treat Ind对面
24671,Hiap Teck Metal Co, Hiap Teck Metal Co.
24679,Opp Hiap Teck Metal Co, 大牌167对面
24681,Opp Jurong Insp Ctr, Jurong Insp对面
24689,Jurong Insp Ctr, 义顺2道之后
24691,Aft Tuas Rd, Tuas Rd对面
24699,Bef Tuas Rd, 大牌180对面
24701,TUAS CRES STN EXIT B
24709,TUAS CRES STN EXIT A
24711,TUAS WEST RD STN EXIT B
24719,TUAS WEST RD STN EXIT A
25009,Tuas Ter, Tuas Ter
25061,Kyocera Chemical, Chemical S'pore对面
25069,Opp Kyocera Chemical, Kyocera Chemical对面
25071,Opp Nissin Tpt, Nissin Tpt对面
25079,Nissin Tpt, Nissin Tpt
25091,Aft Tuas Ave 7, 大士7道之后
25099,Opto-Pharm, Opto-Pharm
25101,Opp SMC Mfg, 大牌Mfg对面
25109,SMC Mfg, 大牌Mfg
25111,Aft Tuas Ave 10, 大士10道之后
25119,Bef Tuas Ave 10, Bef Tuas Ave 10
25121,Aft Tuas Ave 8, 大士8道之后
25129,Aft Tuas Ave 6, 大士6道之后
25151,Mercedes-Benz Logistics, DaimlerChrysler Logistics
25161,Toyochem Ink, Toyochem Ink
25169,Opp Galmon S'pore, Galmon S'pore对面
25171,Becton Dickinson Med, Dickinson Med对面
25179,Sew-Eurodrive, Sew-Eurodrive
25181,MAN Diesel, 大牌Diesel
25189,Soon Heng Glass, Heng Glass对面
25191,Asiatic Engrg, Asiatic Engrg
25199,Bestofire and Thermal, And Thermal对面
25201,Aft Tuas Rd, Tuas Rd对面
25209,Bef Tuas Rd, Tuas Rd对面
25219,Aft Tuas Ave 2, Tuas之后
25221,Raffles Country Club, Country Club对面
25229,Crown Beverage Cans S'pore, Crown Beverage Cans S'pore
25231,Opp Asia-Pacific Brewery, 大牌Brewery对面
25239,Asia-Pacific Brewery, Pacific Brewery对面
25249,Aft Tuas West Rd, Tuas West之后
25259,Bef Tuas West Dr, Bef Tuas West Dr
25269,Tuas Checkpt, Tuas Checkpt
25321,YCH Distripark, 大牌Distripark
25329,Mapletree Logistics, Mapletree Logistics
25331,Chugoku Marine Paints, Marine Paints对面
25339,Asia Steel Welded Mesh, Asia Steel Welded Mesh
25341,ROCKWOOL, ROCKWOOL
25349,Times Printers, Times Printers
25351,Hart Engrg Pte Ltd, Hart Engrg Pte Ltd
25359,Opp Hart Engrg Pte Ltd, Hart Engrg Pte Ltd对面
25361,Yan San Metals Pte Ltd, San Metals Pte Ltd对面
25369,Jas Metal Coatings, Metal Coatings对面
25371,Aft Tuas Ave 4, Opp Protex
25379,Aft Tuas Ave 6, 大士6道之后
25381,WYN2000 Logistics Ctr, 大牌Ctr对面
25389,Aft Tuas Ave 8, 大士8道之后
25391,Bef Pioneer Rd, Pioneer Rd对面
25399,Aft Pioneer Rd, Pioneer Rd对面
25411,BEF TUAS TER, Tuas Ter对面
25419,Aft Tuas Ter, Tuas Ter对面
25421,OPP TUAS LINK STN, Raffles Marina对面
25429,TUAS LINK STN, Raffles Marina
25431,Super Continental, Super Continental
25439,Opp Super Continental, Super Continental对面
25441,Bef Pioneer Rd, Pioneer Rd对面
25449,Aft Pioneer Rd, Pioneer Rd对面
25451,Aft Tuas West St, Tuas West之后
25459,Opp Tuas West St, Opp Tuas West St
25461,Aft Tuas West Ave, Tuas West之后
25469,Bef Tuas West Ave, Bef Tuas West Ave
25471,Opp S'pore Epson Ind, Opp S'pore Epson Ind
25479,S'pore Epson Ind, Epson Ind对面
25491,Opp Super Continental, Super Continental对面
25499,Super Continental, Super Continental
25501,Kee Wee Hup Kee, Kee Wee Hup Kee
25509,Opp Kee Wee Hup Kee, Kee Wee Hup Kee对面
25511,MICHELMAN, Opp Michelman
25519,OPP MICHELMAN, 大牌Michelman
25531,ST KINETICS
25539,FUJIFILM
25541,PEC
25549,CAST LABORATORIES
25551,GARMCO
25559,LEE WELDED MESH
25561,INVISTA
25569,OPP INVISTA
25571,OPP WEST STAR
25579,WEST STAR
25589,CROWN EQUIPMENT
25591,OPP WYETH PHARMACEUTICALS
25599,WYETH PHARMACEUTICALS
25601,PFIZER GLOBAL
25609,MERCK SHARP & DOHME
25611,OPP WESTLINK TWO
25621,STARBURST ENGRG
25631,CONTAINER CONNECTIONS
25641,OPP ROCHE S'PORE TECH
25651,NOVARTIS
25661,BEF TUAS BAY LINK
25669,AFT TUAS BAY LINK
25671,BEF OFFSHORE MARINE CTR
25681,BEF TUAS WEST AVE
25689,AFT TUAS WEST AVE
25691,AFT TUAS WEST RD STN
25701,GLAXOSMITHKLINE
25709,EDGEN MURRAY
25711,OPP THE INDEX
25719,THE INDEX
25729,ABBOTT
25741,HALLIBURTON
25751,BEF TUAS STH AVE 14
25761,OPP REC S'PORE
25771,AFT TUAS STH ST 7
25781,OPP SLS
25791,BEF TUAS STH AVE 10
25801,BEF TUAS STH AVE 7
25811,SIEM SENG HING
25819,OPP BEYONICS TECHNOLOGY
25821,TUAS AMENITY CTR
26011,Bef Tuas Ave 11, Bef Tuas Ave 11
26019,PROGRESS GALVANIZING
26021,Bef Tuas Ave 13, Bef Tuas Ave 13
26029,CHIA HOCK TRADING CO
26031,Hiap Seng Engrg Ltd, Hiap Seng Engrg Ltd
26039,ASIA POLYURETHANE
26041,HIAP SENG ENGRG LTD
26049,Damen Shipyard, Damen Shipyard
26051,BLASTING ABRASIVES
26059,PAXOCEAN, Ocean Shipyard对面
26061,B S DEVELOPMENT
26069,Aft Tuas Ave 16, 义顺2道之后
26071,UNIFINE STAR PETROCHEM
26079,Bef Tuas Loop, Tuas Loop对面
26081,BEF TUAS AVE 18A
26089,Bef Tuas Ave 20, Bef Tuas Ave 20
26091,ROTARY ENGRG
26099,Bef Tuas Ave 13, Bef Tuas Ave 13
26101,BASF STH EAST ASIA
26109,Bef Tuas Ave 11, Bef Tuas Ave 11
26111,Tru-Marine, Tru-Marine
26121,Bef Tuas Amenity Ctr, Chuan Hua对面
26131,Aft Tuas Cres, Tuas Cres对面
26141,Smarty, 大牌Smarty
26151,Opp Hempel, Opp Hempel
26161,3NC S'pore, 大牌S'pore
26171,Richee Engrg, Richee Engrg
26201,Opp MSD, 大牌MSD
26209,MSD, MSD
26211,Framo S'pore Pte Ltd, Framo S'pore Pte Ltd
26221,Opp YLS Steel, 大牌Steel对面
26241,Aft Tuas Sth Ave 2, Tuas Sth Ave 2对面
26249,Bef Tuas Sth Ave 2, Tuas Sth Ave 2对面
26251,Bef Tuas Sth Ave 2, Tuas Sth Ave 2对面
26259,Aft Tuas Sth Ave 2, Tuas Sth Ave 2对面
26261,Aft Tuas Sth Ave 4, Tuas Sth Ave 4对面
26269,Bef Tuas Sth Ave 4, Tuas Sth Ave 4对面
26279,Aft Tuas Sth Ave 4, Tuas Sth Ave 4对面
26289,Opp Caterpillar, Opp Caterpillar
26299,Bef Tuas Sth Ave 6, Tuas Sth Ave 6对面
26311,Aft Tuas Sth Ave 6, Tuas Sth Ave 6对面
26321,Bef Tuas Sth St 2, Jacuzzi/Winmac对面
26331,RS Components, 大牌Components
26349,Tuas Technology Pk, Technology Pk对面
26369,See Hup Seng, Hup Seng对面
26379,Yong Nam, Yong Nam
26389,Bef Tuas Sth Ave 5, Tuas Sth Ave 5对面
26399,Aft Tuas View Cres, Tuas View之后
26409,Multico, 大牌Multico
26419,Aft Tuas View Circuit, Tuas View之后
26429,Bef Tuas Sth Ave 9, Tuas Sth Ave 9对面
26431,Aft Tuas Sth Ave 9, Blue Circle对面
26441,Bef Tuas Sth Ave 7, Tuas Sth Ave 7对面
26451,Bef Tuas Sth Ave 5, Tuas Sth Ave 5对面
26461,Aft Tuas Sth Ave 8, Huat Ship Bldg & Construction对面
27011,Blk 55, 大牌55
27021,Hall 15, 大牌15
27031,Hall 12, 大牌12
27041,CP 7, CP 7
27051,NIE Lib, 大牌Lib
27061,Opp Blk 41, 大牌41对面
27069,Blk 41, 大牌41
27071,Nanyang Crescent Hall
27091,Opp Blk 271 CP, Opp Blk 271 CP
27099,Blk 271 CP, 大牌CP对面
27101,Opp Westwood Sec Sch, 大牌Westville
27109,Westwood Sec Sch, Opp Westville
27121,Bef Nanyang Ave, Nanyang Ave对面
27129,Opp Nanyang Ave, Nanyang Ave对面
27131,Blk 932, 大牌932
27139,Blk 934, 大牌934
27141,Blk 920, 大牌920
27149,Juying Pr Sch, Pr Sch对面
27159,Blk 924, 大牌924
27169,Bef Jln Bahar, Jln Bahar对面
27171,Bef Lor Danau, Lor Danau对面
27179,Aft Lor Danau, Lor Danau对面
27181,PUB Sub-Stn, PUB Sub-车站
27189,Opp PUB Sub-Stn, Opp PUB Sub-Stn
27199,Hall 11, 大牌11
27209,Hall 8, 大牌8
27211,Lee Wee Nam Lib, Lee Wee Nam Lib
27219,Blk 2, 大牌2
27221,Sch Of CEE, 大牌CEE对面
27231,Sch Of Comm And Info, Comm and Info对面
27241,Hall 7, 大牌7
27251,Innovation Ctr, Innovation Ctr
27261,Hall 4, 大牌4
27271,Blk 962, 大牌962
27279,Blk 953, 大牌953
27281,Hall 1, 大牌1
27291,Opp Hall 6, 大牌6对面
27301,Blk 978, 大牌978
27309,Blk 705, 大牌705
27311,Hall 2, 大牌2
27321,Blk 949, 大牌949
27329,Blk 840, 大牌840
27331,West Grove Pr Sch, West Grove Pr Sch
27341,Blk 729, 大牌729
27349,Blk 745, 大牌745
27351,Blk 715, 大牌715
27359,Blk 817, 大牌817
27361,Blk 710, 大牌710
27369,Blk 834, 大牌834
27371,Opp Blk 755, 大牌755对面
27379,Blk 755, 大牌755
27381,Blk 749, 大牌749
27389,Gek Poh Shop Ctr, Gek Poh Shop Ctr
27391,Blk 857, 大牌857
27399,Bet Blks 859/860, 大牌860对面
27401,Pioneer Sec Sch, Sec Sch对面
27409,Blk 821, 大牌821
27411,Blk 844A CP, 大牌CP对面
27419,Blk 827, 大牌827
27421,Blk 701, 大牌701
27429,Blk 711, 大牌711
27431,Blk 762, 大牌762
27439,Blk 861, 大牌861
27441,Bet Blks 757/758, 大牌758对面
27449,Aft Westwood Ave, Westwood Ave对面
27451,Bet Blks 272D/271A, 大牌271A对面
27459,Blk 273B, 大牌273B
27461,Opp Blk 276B, 大牌276B对面
27469,Blk 276B, 大牌276B
27471,Corporation Pr Sch, Pr Sch对面
27479,Opp Corporation Pr Sch, Opp Corporation Pr Sch
27501,NTUC HEALTH NURSING HME, NTUC Health Nursing Home
27509,Bef Yunnan Cres, Yunnan Cres对面
27511,Blk 974, 大牌974
27519,Opp Blk 974, 大牌974对面
27521,Blk 986 CP, 大牌CP对面
27529,Opp Blk 987A, 大牌987A对面
27531,Blk 918, 大牌918
27539,BEF XINGNAN PR SCH, 大牌918对面
28009,Jurong East Temp Int, Jurong East Temp Int
28011,BEF TOH TUCK AVE, ITE West之后
28019,Aft Toh Tuck Ave, Toh Tuck之后
28021,Aft Toh Tuck Ave, Toh Tuck Ave之后
28029,Bef Toh Tuck Ave, Toh Tuck Ave之前
28031,Bef The Synergy, The Synergy之前
28039,Aft Boon Lay Sub Stn, 文礼Sub车站之后
28041,The Synergy, The Synergy
28049,Opp The Synergy, The Synergy对面
28051,Big Box, 裕廊东11道之后
28059,Ng Teng Fong General Hosp, 卓源路之前
28061,Jurong East Stn/Int, 裕廊东车站/转换站
28069,Blk 203, 大牌203
28071,Blk 105, 大牌105
28079,Blk 210, 大牌210
28081,Blk 112, 大牌112
28089,Bef Yuhua CC, 月华俱乐部之前
28091,Lakeside Stn, 湖绊车站
28099,Opp Lakeside Stn, 胡伴车站对面
28101,Opp SMRT Ulu Pandan Depot, SMRT Ulu Pandan Depot对面
28109,SMRT Ulu Pandan Depot, SMRT Ulu Pandan Depot
28111,Aft Bt Batok Rd, 义顺2道之后
28119,Bef Bt Batok Rd, Bef Bt Batok Rd
28121,Opp Track 18, 大牌18对面
28129,Aft Track 18, 大牌18对面
28131,Bef Jurong Lodge 1B, 大牌22对面
28139,Aft Track 22, 大牌22对面
28141,Aft Track 22, 大牌22对面
28149,Opp Jurong Lodge 1B, 大牌22对面
28151,Bef Hong Kah Circle, Bef Hong Kah Circle
28159,Aft Hong Kah Circle, 义顺2道之后
28161,Bef Hong Kah Flyover, Bef Hong Kah Flyover
28169,Aft Hong Kah Flyover, 义顺2道之后
28181,Bef Toh Tuck Link, Ulu Pandan R.I. Plant对面
28189,Aft Toh Tuck Link, Pandan R.I之后
28201,Opp The JTC Summit, Opp The JTC Summit
28211,Opp Blk 135, 大牌135对面
28221,Opp Intl Business Pk, Opp Intl Business Pk
28229,German Ctr, German Ctr
28231,Jurong Town Hall, Town Hall对面
28239,Opp Jurong Town Hall, Opp Jurong Town Hall
28241,Opp Jurong East Lib, Opp Jurong East Lib
28249,Jurong East Lib, East Lib对面
28251,S'pore Science Ctr, Science Ctr对面
28259,Opp S'pore Science Ctr, Opp S'pore Science Ctr
28261,Aft S'pore Science Ctr, Ｇｅｙｌａｎｇ　Science　Ctr　之后
28269,Blk 118, 大牌118
28271,Opp Blk 114, 大牌114对面
28279,Blk 114, 大牌114
28281,Parc Oasis, Parc Oasis
28289,Blk 228, 大牌228
28291,Blk 303, 大牌303
28299,Blk 253, 大牌253
28301,Blk 131, 大牌131
28309,Intl Business Pk, Business Pk对面
28311,Blk 209, 大牌209
28319,Blk 207, 大牌207
28321,Blk 239, 大牌239
28329,Blk 246, 大牌246
28331,Blk 229, 大牌229
28339,Blk 252, 大牌252
28341,Chinese Gdn Stn, 裕华园车站
28349,Opp Chinese Gdn Stn, 裕华园车站对面
28351,Opp Blk 350, 大牌350对面
28359,Blk 350, 大牌350
28361,Jurong Lake, 裕廊河
28369,Opp Jurong Lake, 裕廊河对面
28371,Bef Jurong West St 51, 裕廊西51道之前
28379,Aft Jurong West St 51, 裕廊西51道之后
28381,Blk 515, 大牌515
28389,Opp Blk 515, Sec Sch对面
28391,Blk 501, 大牌501
28399,Blk 458, 大牌458
28401,Blk 502, 大牌502
28409,Blk 454, 大牌454
28411,Blk 526, 大牌526
28421,Blk 517, 大牌517
28431,Blk 134, 大牌134
28439,Blk 124, 大牌124
28441,Seventh-Day Advent Ch, 大牌Ch对面
28449,Bef Seventh-Day Advent Ch, Seventh-Day Advent之后
28451,Parc Oasis, Parc Oasis
28459,Opp Parc Oasis, Parc Oasis对面
28461,Blk 347, 大牌347
28469,Blk 316, 大牌316
28471,Opp Blk 311, 大牌311对面
28481,Blk 306, 大牌306
28491,Opp Jurong Polyclinic, Jurong Polyclinic对面
28499,Jurong Polyclinic, Jurong Polyclinic
28501,Blk 490, 大牌490
28509,Blk 422, 大牌422
28511,Blk 463, 大牌463
28519,Blk 425, 大牌425
28521,Blk 457, 大牌457
28529,Blk 441, 大牌441
28531,Blk 536, 大牌536
28539,Blk 538, 大牌538
28541,Blk 551, 大牌551
28551,Bef Penjuru Cl, 大牌553对面
28561,Blk 402, 大牌402
28571,Blk 416, 大牌416
28581,Blk 491, 大牌491
28591,Opp Blk 481, 大牌481对面
28601,Yuhua Sec Sch, Sec Sch对面
28611,Opp Blk 461, 大牌461对面
28621,Blk 241, 大牌241
28629,Blk 266, 大牌266
28631,Opp Blk 288D, 大牌288D对面
28639,Blk 288E, 大牌288E
28641,Blk 284, 大牌284
28649,Blk 286A, 大牌286A
28651,Opp IMM Bldg, 大牌Bldg对面
28659,IMM Bldg, 大牌Bldg
28661,Opp Jurong East Warehse, Opp Jurong East Warehse
28669,Jurong East Warehse, East Warehse对面
28671,Alliance Bldg, Alliance Bldg
28679,Hitachi Elevator Bldg, Elevator Bldg对面
28681,Toh Guan Ctr, Guan Ctr对面
28689,Opp Toh Guan Ctr, Opp Toh Guan Ctr
28691,Wang-Fu Ind Pte Ltd, Ｇｅｙｌａｎｇ　Ind　Pte　Ltd　之后
28699,Opp Uni-Tech Ctr, 大牌Ctr对面
28701,Aft Old Toh Tuck Rd, Old Toh Tuck Rd对面
28709,Bef Old Toh Tuck Rd, Old Toh Tuck Rd对面
29011,Opp Sanmina-SCI, 义顺2道之后
29019,Sanmina-SCI, 大牌SCI
29021,Aft Jln Buroh, Jln Buroh对面
29029,Bef Penjuru Cl, Sunlight Timber对面
29031,Aft Penjuru Pl, Wood Ind对面
29039,Bef Penjuru Wk, Opp S'pore Wood Ind
29041,Ban Joo, Ban Joo
29049,LTH Logistics, 大牌Logistics
29051,Opp Caltex S'pore, Caltex S'pore对面
29059,Caltex S'pore, Caltex S'pore
29069,Aft Pandan Rd, Pandan Rd对面
29071,Gas Svc Intl, Svc Intl对面
29081,Franklin Offshore, Franklin Offshore
29089,Swanson Plastics, Swanson Plastics
29091,Opp Sia Huat, Sia Huat对面
29099,Bef Sia Huat, Ct S'pore
29101,PPL Shipyard, 大牌Shipyard
29109,Opp PPL Shipyard, 大牌Shipyard对面
29111,Transerve, Yeo & Son Investment
29119,Comfortdelgro Engrg, ComfortDelGro Engrg
29121,Opp Clp Intl, 大牌Svcs对面
29129,Clp Intl, 大牌CLP)对面
29139,Opp Foh Foh Pte Ltd, Foh Foh Pte Ltd对面
29149,Senkee Logistics Hub, 大牌4对面
29159,Aft Teban Gdns Cres, 义顺2道之后
30011,Tengah Air Base, Air Base对面
30019,Opp Tengah Air Base, Opp Tengah Air Base
30021,Opp Keat Hong Camp, Opp Keat Hong Camp
30029,Keat Hong Camp, Hong Camp对面
30031,Opp Army Logistics Base, Opp Army Logistics Base
30039,Army Logistics Base, Logistics Base对面
30041,Opp Home Team Academy, Opp Home Team Academy
30049,Home Team Academy, Team Academy对面
30051,Aft Track 14, 大牌14对面
30059,Opp Track 14, 大牌14对面
30081,Opp Hai Inn See Tp, Hai Inn See Tp对面
30089,Aft Hai Inn See Tp, Hai Inn See Tp之后
30091,Chengtai Nursery, Chengtai Nursery
30099,Opp Chengtai Nursery, Chengtai Nursery对面
31009,Choa Chu Kang Rd End, Chu Kang Rd End对面
31011,Aft Nanyang Ave, Nanyang Ave对面
31019,Bef Nanyang Ave, Nanyang Ave对面
31021,Jln Bahar Power Stn, Jln Bahar Power Stn
31029,Opp Jln Bahar Power Stn, Jln Bahar Power Stn对面
31031,Civil Defence Academy, Defence Academy对面
31039,Opp Civil Defence Academy, Opp Civil Defence Academy
31041,Bef Muslim Cemy Path 7, Muslim Cemy Path 7对面
31049,Aft Chr Cemy Path 9, Chr Cemy Path 9对面
31051,Bef Muslim Cemy Path 1, Muslim Cemy Path 1对面
31059,Aft Chr Cemy Path 3, Chr Cemy Path 3对面
31061,Opp Lim Chu Kang Camp II, Lim Chu Kang Camp II对面
31069,Bef Old Choa Chu Kang Rd, Old Choa Chu Kang Rd对面
31071,Aft Chinese Cemy Path 11, Chinese Cemy Path 11对面
31079,Opp Chinese Cemy Path 11, Chinese Cemy Path 11对面
31081,Opp HQ 5th SIB Camp I, HQ 5th SIB Camp I对面
31089,HQ 5th SIB Camp I, Ｇｅｙｌａｎｇ　SIB　Camp　I　之后
31121,Opp Chinese Cemy, Chinese Cemy对面
31129,Chinese Cemy, Chinese Cemy
31131,Aft Track 33, 大牌33对面
31139,Bef Track 33, 大牌33对面
31141,Bahai Cemy, Bahai Cemy
31149,Opp Bahai Cemy, Bahai Cemy对面
31151,Aft Lim Chu Kang Rd, Lim Chu Kang Rd对面
31159,Bef Lim Chu Kang Rd, Lim Chu Kang Rd对面
31161,Opp Teen Challenge, Teen Challenge对面
31169,Teen Challenge, Teen Challenge
31171,Opp Jln Berseri, Jln Berseri对面
31179,Aft Jln Berseri, Jln Berseri对面
31191,B26 Old Choa Chu Kang Rd, Old Choa Chu Kang Rd对面
31199,B25 Old Choa Chu Kang Rd, Old Choa Chu Kang Rd对面
31201,Aft Chinese Cemy Path 13, Chinese Cemy Path 13对面
31211,Aft Muslim Cemy Path 17, Muslim Cemy Path 17对面
32031,Opp Ama Keng Rd, Opp Ama Keng Rd
32039,Aft Ama Keng Rd, Ｇｅｙｌａｎｇ　Keng　Rd　之后
32041,Opp LP 160, 大牌160对面
32049,Aft LP 161, 大牌161对面
32051,Aft Track 11, 大牌11对面
32059,Opp Track 11, 大牌11对面
32061,Opp LP 173, 大牌173对面
32069,B26 Lim Chu Kang Rd, Lim Chu Kang Rd对面
32071,Aft Track 13, 大牌13对面
32079,Opp Track 13, 大牌13对面
32081,Sg Gedong Camp, Gedong Camp对面
32089,Aft Sg Gedong Camp, Ｇｅｙｌａｎｇ　Gedong　Camp　之后
32101,Aft Murai Farmway, Murai Farmway对面
32109,Bef Lor Serambi, Lor Serambi对面
32111,Aft LP 93, 大牌93对面
32119,Aft LP 96, 大牌96对面
33011,B19 Lim Chu Kang Rd, Lim Chu Kang Rd对面
33019,B20 Lim Chu Kang Rd, Lim Chu Kang Rd对面
33021,Opp Neo Tiew Rd, Opp Neo Tiew Rd
33029,Aft Neo Tiew Rd, Ｇｅｙｌａｎｇ　Tiew　Rd　之后
33031,Aft Jln Bahtera, Jln Bahtera对面
33039,Opp Jln Bahtera, Jln Bahtera对面
33041,Opp Lim Chu Kang Lane 3, Lim Chu Kang Lane 3对面
33049,Aft Lim Chu Kang Lane 3, Lim Chu Kang Lane 3对面
33051,Bef Lim Chu Kang Lane 3A, Lim Chu Kang Lane 3A对面
33059,Aft Lim Chu Kang Lane 3A, Lim Chu Kang Lane 3A对面
34009,Police Coast Guard, Coast Guard对面
34011,Opp Lim Chu Kang Lane 4, Lim Chu Kang Lane 4对面
34019,Aft Lim Chu Kang Lane 4, Lim Chu Kang Lane 4对面
34021,Opp Lim Chu Kang Lane 5, Lim Chu Kang Lane 5对面
34029,Bef Lim Chu Kang Lane 5, Lim Chu Kang Lane 5对面
34031,Aft Lim Chu Kang Lane 6, Lim Chu Kang Lane 6对面
34039,Bef Lim Chu Kang Lane 6, Lim Chu Kang Lane 6对面
34041,B03 Lim Chu Kang Rd, Lim Chu Kang Rd对面
34049,Aft Lim Chu Kang Lane 8, Lim Chu Kang Lane 8对面
34051,Aft Lim Chu Kang Lane 8, Lim Chu Kang Lane 8对面
34059,Yishun Dairy Farm, Dairy Farm对面
34101,Aft Old Lim Chu Kang Rd, Old Lim Chu Kang Rd对面
34109,Aft Lim Chu Kang Rd, Lim Chu Kang Rd对面
40011,LITTLE INDIA STN EXIT A, India Stn对面
40019,Little India Stn, India Stn对面
40021,BEF WINSTEDT RD, POSB之后
40029,Aft Makepeace Rd, Shell Kiosk
40031,Newton FC, 大牌FC
40039,Opp Newton FC, 大牌FC对面
40041,Newton Stn Exit C, Newton Circus对面
40049,Opp Newton Stn Exit C, Newton Circus对面
40051,Balmoral Plaza, Balmoral Plaza
40059,Chancery Ct, Chancery Ct
40069,Anglo-Chinese Sch, Chinese Sch对面
40071,Leng Kwang Baptist Ch, Leng Kwang Baptist Ch
40079,Chinese Intl Sch, Intl Sch对面
40081,Stevens Stn, 大牌SCGS
40089,Opp Stevens Stn, SCGS
40091,Bef Lewis Rd, Lewis Rd对面
40099,Aft Dunkirk Ave, Dunkirk Ave对面
40101,KK Women & Child Hosp, Women & Child Hosp对面
40109,Opp KK Women & Child Hosp, KK Women & Child Hosp对面
40111,City Twrs, City Twrs
40119,Bef Goldhill Ave, Goldhill Ave对面
40121,Opp Newton Life Ch, Opp Newton Life Ch
40129,Newton Life Ch, Life Ch对面
40171,Opp Env Bldg, Env Bldg对面
40179,Env Bldg, Env Bldg
40181,Newton Stn Exit A, Newton Stn
40189,Newton Stn Exit B, Newton Stn
40191,Raffles Girls' Sch, Girls' Sch对面
40199,Opp Raffles Girls' Sch, Opp Raffles Girls' Sch
40201,Chelsea Gdn Condo, Gdn Condo对面
40209,NOVOTEL MERCURE @ STEVENS, The Pines
40211,Opp Met YMCA, 大牌YMCA对面
40219,Bef Met YMCA, 大牌YMCA对面
40221,Opp Stevens Stn, Stevens Ct对面
40229,Aft Stevens Stn, Stevens Ct
40231,Raffles Town Club, Town Club对面
40239,Aft Tanglin CC, 大牌CC对面
40249,St. Joseph's Inst, 大牌Inst对面
40251,Aft Wallace Way, Wallace Way对面
40259,Bef Wallace Way, Wallace Way对面
40261,LP 52, 义顺2道之后
40269,LP 57, 义顺2道之后
40271,Opp KK Women & Child Hosp, KK Women & Child Hosp对面
40279,KK Women & Child Hosp, Women & Child Hosp对面
40301,Blk 451A
40309,Opp Blk 451A
40311,Blk 439C
40351,Blk 461C
40359,Opp Blk 461C
40361,Blk 438A
41011,NUS Bt Timah Campus, NUS
41019,Aft Kheam Hock Rd, 义顺2道之后
41021,Botanic Gdns Stn, Gdns Stn对面
41029,Opp Botanic Gdns Stn, Opp Botanic Gdns Stn
41031,Bef Crown Ctr, Crown Ctr对面
41041,Coronation Plaza, Coronation Plaza
